Frequency,Error,Mass
0.0007229049486544016,1.3300744538455495e-05,4518.615
0.0006876651678127312,1.2972505595745418e-05,4549.344999999999
0.0006898676541153343,1.299326346311798e-05,4580.075000000001
0.0006720030429942406,1.282392511199449e-05,4610.805
0.0006404340726569291,1.2519084421381867e-05,4641.535
0.000632603010247655,1.244230893656336e-05,4672.264999999999
0.000625750830639575,1.2374739653046565e-05,4702.995
0.0006098439851207567,1.2216441671204002e-05,4733.725
0.0005919793739996605,1.2036179084824879e-05,4764.455
0.0005741147628785294,1.1853175389659181e-05,4795.1849999999995
0.0005381408199360288,1.1475809265971807e-05,4825.915
0.0005283519919244437,1.137095727997262e-05,4856.645
0.0005170948397111545,1.1249169360004318e-05,4887.375
0.0004999643906908933,1.106126736904756e-05,4918.105
0.0004936016524833879,1.0990657034939037e-05,4948.835
0.00047304511365907814,1.0759364827119237e-05,4979.5650000000005
0.00046496933054954734,1.0667128019532664e-05,5010.295
0.0004314425946099093,1.0275355657471993e-05,5041.025
0.0004201854423966173,1.0140417926034376e-05,5071.755
0.0004341345223130908,1.0307361656611856e-05,5102.485000000001
0.000387637589258149,9.739760895508802e-06,5133.215
0.0003761357163445549,9.594175103031524e-06,5163.945
0.000269192770318151,8.116467412924002e-06,5194.674999999999
0.00011722121543854378,5.355974041280906e-06,5809.275
0.00015221627557989996,6.103316602907993e-06,5840.004999999999
0.00013949079916486008,5.842626640093449e-06,5870.735000000001
0.00012578643994866703,5.548202021477475e-06,5901.465
0.00012945725045300553,5.6285761066523315e-06,5932.195
0.00010694294602639273,5.115774881928713e-06,5962.924999999999
0.00011134791863159883,5.220070940444553e-06,5993.655000000001
0.00010229325272090042,5.003326537487009e-06,6024.385
9.32385868101987e-05,4.776757504643691e-06,6055.115
9.88671629168482e-05,4.918825199640766e-06,6085.844999999999
9.519635241250978e-05,4.826646664856486e-06,6116.575000000001
8.271559669776158e-05,4.4991353334521496e-06,6147.305
7.831062409255533e-05,4.377696970784598e-06,6178.035
8.344975879862682e-05,4.5190578013749436e-06,6208.764999999999
7.121372378416541e-05,4.174622420610652e-06,6239.495000000001
7.659757919053069e-05,4.329551156871378e-06,6270.225
6.680875117896128e-05,4.043449563672607e-06,6300.955
7.02348409830085e-05,4.1458315776289e-06,6331.6849999999995
7.219260658532231e-05,4.203216059074925e-06,6362.415000000001
6.827707538069669e-05,4.087641581751575e-06,6393.145
5.45727161644995e-05,3.6544593740335384e-06,6423.875
6.044601297143937e-05,3.846087703636366e-06,6454.605
5.4327995464210266e-05,3.646256312344423e-06,6485.335
