Frequency,Error,Mass
740.0,27.202941017470888,4507.0912499999995
730.0,27.018512172212592,4514.77375
752.0,27.422618401604176,4522.456249999999
732.0,27.055498516937366,4530.13875
735.0,27.110883423451916,4537.82125
663.0,25.748786379167466,4545.50375
747.0,27.331300737432898,4553.186250000001
665.0,25.787593916455254,4560.86875
699.0,26.43860813280457,4568.55125
730.0,27.018512172212592,4576.233749999999
677.0,26.019223662515376,4583.91625
713.0,26.70205984563738,4591.59875
696.0,26.38181191654584,4599.28125
714.0,26.720778431774775,4606.963750000001
656.0,25.612496949731394,4614.64625
680.0,26.076809620810597,4622.328750000001
667.0,25.826343140289914,4630.01125
677.0,26.019223662515376,4637.69375
646.0,25.41653005427767,4645.376249999999
627.0,25.03996805109783,4653.05875
660.0,25.69046515733026,4660.74125
641.0,25.317977802344327,4668.42375
622.0,24.939927826679853,4676.106250000001
662.0,25.729360660537214,4683.78875
655.0,25.592967784139454,4691.4712500000005
636.0,25.219040425836983,4699.1537499999995
636.0,25.219040425836983,4706.83625
630.0,25.099800796022265,4714.518749999999
664.0,25.768197453450252,4722.20125
644.0,25.37715508089904,4729.88375
601.0,24.515301344262525,4737.56625
583.0,24.145392935299274,4745.248750000001
626.0,25.019992006393608,4752.93125
597.0,24.43358344574123,4760.61375
633.0,25.15949125081825,4768.296249999999
563.0,23.727621035409346,4775.97875
612.0,24.73863375370596,4783.66125
621.0,24.919871588754223,4791.34375
567.0,23.811761799581316,4799.02625
546.0,23.366642891095847,4806.70875
556.0,23.57965224510319,4814.391250000001
545.0,23.345235059857504,4822.07375
565.0,23.769728648009426,4829.75625
533.0,23.08679276123039,4837.438749999999
497.0,22.293496809607955,4845.12125
549.0,23.430749027719962,4852.80375
553.0,23.515952032609693,4860.48625
560.0,23.664319132398465,4868.168750000001
501.0,22.38302928559939,4875.85125
557.0,23.600847442411894,4883.5337500000005
522.0,22.847319317591726,4891.2162499999995
533.0,23.08679276123039,4898.89875
471.0,21.702534414210707,4906.58125
534.0,23.108440016582687,4914.26375
522.0,22.847319317591726,4921.94625
516.0,22.715633383201094,4929.62875
555.0,23.558437978779494,4937.311250000001
487.0,22.06807649071391,4944.99375
504.0,22.44994432064365,4952.67625
471.0,21.702534414210707,4960.358749999999
466.0,21.587033144922902,4968.04125
499.0,22.338307903688676,4975.72375
502.0,22.40535650240808,4983.40625
466.0,21.587033144922902,4991.08875
451.0,21.236760581595302,4998.77125
507.0,22.516660498395403,5006.453750000001
494.0,22.22611077089287,5014.13625
448.0,21.166010488516726,5021.81875
479.0,21.88606862823929,5029.501249999999
437.0,20.904544960366874,5037.18375
426.0,20.639767440550294,5044.86625
421.0,20.518284528683193,5052.54875
431.0,20.760539492026695,5060.231250000001
423.0,20.566963801203133,5067.91375
430.0,20.73644135332772,5075.5962500000005
433.0,20.808652046684813,5083.2787499999995
442.0,21.02379604162864,5090.96125
453.0,21.283796653792763,5098.64375
431.0,20.760539492026695,5106.32625
